#ID_REF = 
#VALUE = Signal
#ABS_CALL = Detection call
#DETECTION P-VALUE = Detection p-value
ID_REF  VALUE   ABS_CALL    DETECTION P-VALUE
203872_at   309.6   A   0.19458
217756_x_at 15264.6 P   0.00293
222018_at   65.5    A   0.753906
204102_s_at 6420.1  P   0.000732
208650_s_at 159 A   0.398926
209875_s_at 443.1   A   0.111572
209096_at   503.9   P   0.01416
200673_at   1948.5  P   0.001221
204810_s_at 21.1    A   0.696289
200984_s_at 526.1   P   0.010742
212099_at   1888.6  P   0.001953
208821_at   244.4   A   0.334473
204582_s_at 51.9    A   0.919434
203258_at   190 A   0.19458
217733_s_at 7667.6  P   0.001221
200593_s_at 695.7   P   0.037598
200990_at   349.6   A   0.067627
208659_at   5346.3  P   0.000732
200971_s_at 3113.4  P   0.000244
200812_at   63.8    A   0.780518
215001_s_at 12212.9 P   0.000244
201650_at   8.7 A   0.919434
208642_s_at 1449.3  P   0.00415
218617_at   604 A   0.095215
213782_s_at 9.7 A   0.976074
203382_s_at 89.8    A   0.753906
200819_s_at 9176.1  P   0.000244
213879_at   195 A   0.095215
201088_at   364.4   P   0.001953
200631_s_at 1001.8  P   0.023926
200978_at   347.6   A   0.398926
212266_s_at 1382.9  P   0.00415
200853_at   706 P   0.030273
200718_s_at 5612.8  P   0.000244
221962_s_at 361.9   A   0.72583
211284_s_at 184.6   A   0.219482
221494_x_at 1792.3  P   0.018555
204083_s_at 21.5    A   0.850342
213606_s_at 5.9 A   0.932373
201002_s_at 639.7   A   0.095215
209277_at   61.1    A   0.080566
208638_at   456.4   A   0.149658
201327_s_at 82  A   0.27417
201097_s_at 1153.5  P   0.001953
205292_s_at 511.2   P   0.00415
201427_s_at 27.2    A   0.696289
202995_s_at 362.2   P   0.005859
200623_s_at 71.3    A   0.72583
212016_s_at 358.6   A   0.149658
208623_s_at 252.6   P   0.005859
208666_s_at 257.5   P   0.023926
210095_s_at 544.6   M   0.056152
207323_s_at 593.2   P   0.030273
200745_s_at 1329    P   0.00293
200757_s_at 240.3   A   0.398926
200824_at   937.9   P   0.010742
200781_s_at 13524.7 P   0.000244
215111_s_at 543.5   P   0.037598
205547_s_at 246.5   A   0.27417
201586_s_at 289.3   P   0.005859
220189_s_at 109.2   A   0.366211
200627_at   1318.8  P   0.000244
201250_s_at 814.9   M   0.056152
200847_s_at 4088.7  P   0.000244
200662_s_at 407.8   P   0.01416
201744_s_at 2.4 A   0.99585
201209_at   306.8   P   0.023926
208631_s_at 340.4   A   0.129639
208700_s_at 1663    P   0.00415
200862_at   406.4   A   0.129639
209248_at   507.1   P   0.000244
212595_s_at 2249.8  P   0.000244
217720_at   3142.8  P   0.001953
204031_s_at 10456.6 P   0.000244
201012_at   1794.8  P   0.000244
208706_s_at 731.7   P   0.000732
200663_at   3522.7  P   0.00293
200614_at   2855.5  P   0.00293
200709_at   2665    P   0.000732
200670_at   508.4   P   0.000732
208783_s_at 1873.4  P   0.000244
213762_x_at 602.5   A   0.171387
200837_at   601 A   0.080566
210891_s_at 1987.6  P   0.000732
213282_at   236.1   A   0.149658
208649_s_at 536.5   A   0.366211
209067_s_at 431.1   M   0.056152
217982_s_at 3337.6  P   0.000244
200968_s_at 434.6   A   0.432373
214911_s_at 636.9   M   0.056152
201784_s_at 358.4   P   0.018555
211937_at   1220.1  P   0.023926
200610_s_at 1085.7  P   0.000732
211375_s_at 187.1   A   0.334473
200976_s_at 2380.5  P   0.001953
201094_at   21052.6 P   0.000244
201417_at   159.7   A   0.334473
208654_s_at 979.3   P   0.008057
214132_at   233.6   A   0.149658
201368_at   5342.9  P   0.001221
200601_at   714.3   A   0.111572
201042_at   389.8   A   0.334473
213671_s_at 609.7   A   0.111572
208689_s_at 924.3   P   0.001953
220954_s_at 80.4    A   0.567627
200986_at   459.5   A   0.171387
201288_at   12189.4 P   0.001953
211575_s_at 212.8   A   0.067627
200657_at   1368.9  P   0.046143
200699_at   581.7   P   0.030273
214882_s_at 304.7   P   0.000732
202182_at   535.7   P   0.046143
208691_at   270.2   P   0.023926
201360_at   957.8   P   0.000244
200899_s_at 2311.7  P   0.000244
200695_at   1395.3  A   0.303711
213923_at   955.5   P   0.00415
200929_at   103.5   A   0.366211
200642_at   1081.2  A   0.080566
200924_s_at 297.7   A   0.466064
218813_s_at 180.6   A   0.334473
201271_s_at 433.4   P   0.046143
208695_s_at 24196.4 P   0.000244
213151_s_at 1962.2  P   0.000244
201387_s_at 538.8   A   0.19458
209186_at   593 P   0.037598
203973_s_at 3875.6  P   0.000244
200921_s_at 5921.4  P   0.000244
205157_s_at 113 A   0.466064
204179_at   607 A   0.129639
208756_at   945.1   A   0.246094
217729_s_at 54.6    A   0.850342
201339_s_at 183.3   A   0.27417
200877_at   1014.6  M   0.056152
200682_s_at 1181.6  P   0.008057
215399_s_at 937.5   P   0.00415
201272_at   1002.5  P   0.030273
