#ID_REF = 
#VALUE = Signal normalized to TGT 500
#ABS_CALL = Detection call
#DETECTION P-VALUE = Detection p-value
ID_REF  VALUE   ABS_CALL    DETECTION P-VALUE
209875_s_at 265.5   A   0.19458
209096_at   340.7   P   0.030273
200673_at   1505.9  P   0.000244
204810_s_at 274.3   A   0.533936
200984_s_at 592.1   P   0.00293
212099_at   2221    P   0.000244
208821_at   346.9   A   0.080566
204582_s_at 78.2    A   0.753906
203258_at   399.5   A   0.19458
217733_s_at 4421.3  P   0.001221
200593_s_at 1073.8  M   0.056152
200990_at   663.1   A   0.080566
208659_at   4406.7  P   0.000244
200971_s_at 2054.5  P   0.000244
200812_at   147.5   A   0.633789
215001_s_at 13088.6 P   0.000244
201650_at   8.7 A   0.919434
208642_s_at 1485.1  P   0.00415
218617_at   519.4   A   0.095215
213782_s_at 11.5    A   0.953857
203382_s_at 49.5    A   0.888428
200819_s_at 11163.7 P   0.000244
213879_at   351.8   A   0.129639
201088_at   266.9   P   0.037598
200631_s_at 880.7   A   0.067627
200978_at   70.7    A   0.533936
212266_s_at 1444.2  P   0.001221
200853_at   755.4   P   0.018555
200718_s_at 4503.4  P   0.000244
221962_s_at 507.5   A   0.432373
211284_s_at 422.4   P   0.010742
221494_x_at 2240.5  P   0.01416
204083_s_at 16.8    A   0.969727
213606_s_at 15  A   0.904785
201002_s_at 538.1   A   0.129639
209277_at   14.6    A   0.696289
208638_at   304.6   A   0.246094
201327_s_at 195.2   A   0.19458
201097_s_at 1374.6  P   0.001953
205292_s_at 644.9   P   0.008057
201427_s_at 28.3    A   0.665527
202995_s_at 344.6   P   0.046143
200623_s_at 338.2   A   0.432373
212016_s_at 420.8   A   0.095215
208623_s_at 236.5   P   0.01416
208666_s_at 145.4   P   0.046143
210095_s_at 437.7   A   0.080566
207323_s_at 846.6   P   0.030273
200745_s_at 1316.1  P   0.008057
200757_s_at 179.8   A   0.466064
200824_at   1129.6  P   0.001953
200781_s_at 11524.2 P   0.000244
215111_s_at 42.2    A   0.601074
205547_s_at 101.6   A   0.665527
201586_s_at 427.8   P   0.018555
220189_s_at 158.1   A   0.398926
200627_at   1001.1  P   0.000244
201250_s_at 944.2   A   0.095215
200847_s_at 3634.3  P   0.000244
200662_s_at 303.7   P   0.023926
201744_s_at 36.9    A   0.601074
201209_at   312.5   A   0.080566
208631_s_at 540.1   A   0.149658
208700_s_at 1903.5  P   0.00293
200862_at   290.6   A   0.27417
209248_at   468.6   P   0.000244
212595_s_at 2191.5  P   0.000244
217720_at   2821.2  P   0.00293
204031_s_at 16843.8 P   0.000732
201012_at   1449.9  P   0.000244
208706_s_at 1010.7  P   0.001953
200663_at   4575    P   0.00293
200614_at   1954    P   0.01416
200709_at   1853.2  P   0.000732
200670_at   273.8   P   0.008057
208783_s_at 2468.1  P   0.000244
213762_x_at 680.6   A   0.080566
200837_at   560.8   A   0.149658
210891_s_at 1935.9  P   0.000244
213282_at   487 A   0.219482
208649_s_at 555.5   A   0.219482
209067_s_at 644.6   P   0.037598
217982_s_at 2787.5  P   0.000244
200968_s_at 379.6   A   0.366211
214911_s_at 804 P   0.030273
201784_s_at 345.5   P   0.01416
211937_at   1374.2  P   0.018555
200610_s_at 437.6   P   0.001953
211375_s_at 333.8   A   0.219482
200976_s_at 1283.4  P   0.00415
201094_at   11846.4 P   0.000732
201417_at   48.4    A   0.567627
208654_s_at 611.4   P   0.018555
214132_at   275.6   M   0.056152
201368_at   5382.5  P   0.001221
200601_at   1478.9  P   0.046143
201042_at   125.6   A   0.303711
213671_s_at 558.3   A   0.095215
208689_s_at 908.8   P   0.00293
220954_s_at 228.8   A   0.366211
200986_at   262.6   A   0.129639
201288_at   13269.5 P   0.000732
211575_s_at 107.7   M   0.056152
200657_at   1171.7  P   0.037598
200699_at   357.8   A   0.171387
214882_s_at 348.2   P   0.001953
202182_at   452.2   A   0.19458
208691_at   299.9   P   0.023926
201360_at   1178.1  P   0.000244
200899_s_at 1785.8  P   0.000244
200695_at   1744.8  A   0.334473
213923_at   548.1   P   0.01416
200929_at   399.8   A   0.129639
200642_at   998 A   0.129639
200924_s_at 634.6   A   0.19458
218813_s_at 326.7   A   0.171387
201271_s_at 619 A   0.067627
208695_s_at 20092   P   0.000244
213151_s_at 1695.1  P   0.000732
201387_s_at 247.8   A   0.5
209186_at   423.2   P   0.037598
203973_s_at 3365.6  P   0.000244
200921_s_at 4852.9  P   0.000244
205157_s_at 151.9   A   0.366211
204179_at   506.3   A   0.219482
208756_at   698.7   A   0.149658
217729_s_at 117 A   0.601074
201339_s_at 204.8   A   0.27417
200877_at   577.8   A   0.149658
200682_s_at 1342.5  P   0.005859
215399_s_at 1145.1  P   0.008057
201272_at   646.1   A   0.111572
208675_s_at 788.8   A   0.080566
201531_at   5778.8  P   0.000732
200896_x_at 3100.7  P   0.00293
200603_at   4606.3  P   0.000244
208616_s_at 4271.5  P   0.000732
212037_at   561.1   P   0.010742
200608_s_at 891.8   P   0.000244
200944_s_at 1438.6  P   0.000244
210950_s_at 1782.1  P   0.001953
200660_at   4742.4  P   0.005859
200668_s_at 6696.6  P   0.000244
200959_at   1102.5  P   0.046143
201105_at   454 A   0.219482
200797_s_at 13442.5 P   0.000244
200691_s_at 509.7   P   0.018555
212600_s_at 1080.4  P   0.001221
39729_at    1671.4  P   0.000388
217773_s_at 620.9   A   0.129639
218013_x_at 217.4   A   0.19458
201669_s_at 1831.5  P   0.001221
200735_x_at 5323.6  P   0.000244
201496_x_at 144.9   A   0.696289
200696_s_at 1765    P   0.005859
210297_s_at 135.7   A   0.398926
208794_s_at 135.7   A   0.398926
211954_s_at 168.3   A   0.095215
200958_s_at 18732.9 P   0.000244
200708_at   247.8   A   0.5
200830_at   721.5   P   0.005859
208658_at   737 P   0.018555
200620_at   2664.5  P   0.008057
208712_at   132.3   A   0.466064
222021_x_at 1436.1  P   0.001953
217728_at   9683.4  P   0.00293
200974_at   622.4   A   0.095215
200926_at   14397.6 P   0.000732
212203_x_at 27267.6 P   0.00293
200720_s_at 364.2   A   0.366211
200902_at   628.6   P   0.000244
208310_s_at 227.6   A   0.111572
200768_s_at 593.6   P   0.018555
209701_at   542 A   0.095215
204450_x_at 86  A   0.533936
208682_s_at 64.5    A   0.533936
200793_s_at 58.3    A   0.870361
200901_s_at 469.9   A   0.19458
210715_s_at 62.4    A   0.633789
200626_s_at 402.7   P   0.008057
200728_at   3821.1  P   0.000244
200629_at   501.4   P   0.00293
200932_s_at 784.8   A   0.219482
41220_at    4323.8  P   0.048995
201275_at   457.6   A   0.398926
208811_s_at 403.7   A   0.129639
216032_s_at 549.9   A   0.067627
201041_s_at 14995.5 P   0.000732
200854_at   360.4   P   0.000244
210816_s_at 692.5   P   0.01416
201540_at   433.2   A   0.19458
200761_s_at 2089    P   0.023926
200666_s_at 986 A   0.067627
211185_s_at 3597.8  P   0.00293
204737_s_at 16.3    A   0.888428
200658_s_at 220.6   A   0.19458
210195_s_at 269.5   A   0.067627
200645_at   12117   P   0.000244
200707_at   502.6   A   0.149658
201077_s_at 398.7   P   0.00415
200710_at   942.9   A   0.111572
200632_s_at 1092.6  P   0.000244
208636_at   4911.9  P   0.00293
200609_s_at 1349.6  P   0.018555
200834_s_at 4350.7  P   0.001221
216088_s_at 162 A   0.27417
200675_at   714.8   A   0.067627
201786_s_at 2495.7  P   0.000244
211980_at   206.7   A   0.219482
208626_s_at 471 A   0.398926
212509_s_at 686.4   A   0.095215
214218_s_at 446.2   P   0.001221
217753_s_at 2848.6  P   0.000732
200747_s_at 172 A   0.80542
200820_at   227.3   A   0.27417
208662_s_at 393.5   P   0.005859
201304_at   55.9    M   0.056152
208620_at   5767    P   0.00293
217716_s_at 102.4   A   0.870361
200903_s_at 415.9   P   0.00415
201092_at   691.8   M   0.056152
213201_s_at 33.1    A   0.932373
200846_s_at 961.8   P   0.037598
207168_s_at 3888.2  P   0.000244
217822_at   574.8   A   0.095215
208723_at   839.5   A   0.080566
208745_at   452.7   P   0.023926
208728_s_at 1007.9  P   0.000732
217225_x_at 1084.2  M   0.056152
200661_at   96.6    A   0.780518
200644_at   1271    P   0.001221
220789_s_at 47.3    A   0.943848
208967_s_at 564.7   P   0.046143
201058_s_at 12.5    A   0.99585
200942_s_at 1018.7  P   0.037598
212461_at   984.7   P   0.000732
219549_s_at 2873.4  P   0.00293
200595_s_at 321.2   P   0.00415
200998_s_at 1524.3  P   0.008057
211992_at   1776.6  P   0.001221
213086_s_at 654.1   P   0.005859
202154_x_at 119.9   A   0.665527
210027_s_at 513.2   A   0.466064
200782_at   1218.8  P   0.00415
200876_s_at 1187.3  P   0.00293
200701_at   2389.4  P   0.000244
213621_s_at 127.8   A   0.334473
38691_s_at  552.3   A   0.47938
200619_at   84.6    A   0.969727
206158_s_at 1732.6  P   0.000244
200652_at   1710.1  P   0.01416
213281_at   425.8   P   0.010742
208614_s_at 65.9    A   0.870361
214214_s_at 196.6   P   0.046143
206918_s_at 1050.6  P   0.010742
200618_at   2786.8  P   0.000732
209312_x_at 3926.8  P   0.000732
203445_s_at 3013.2  P   0.001953
212592_at   263.6   P   0.001953
217758_s_at 618 P   0.00293
209016_s_at 30.5    A   0.665527
201901_s_at 2574.5  P   0.000732
213846_at   388.6   A   0.5
200965_s_at 762.8   M   0.056152
207076_s_at 125 A   0.633789
201264_at   1412.3  A   0.246094
217833_at   596.4   P   0.001953
204050_s_at 225 A   0.398926
209330_s_at 307.8   M   0.056152
217722_s_at 699.7   P   0.046143
