#ID_REF = 
#VALUE = Signal
#ABS_CALL = Detection call
#DETECTION P-VALUE = Detection p-value
ID_REF  VALUE   ABS_CALL    DETECTION P-VALUE
200629_at   279.9   A   0.129639
200932_s_at 418.6   A   0.466064
41220_at    3028.9  A   0.066865
201275_at   91.8    A   0.533936
208811_s_at 64.6    A   0.533936
216032_s_at 764.2   M   0.056152
201041_s_at 10180.9 P   0.001221
200854_at   488.9   P   0.030273
210816_s_at 695.6   A   0.095215
201540_at   582.2   A   0.111572
200761_s_at 2227.8  P   0.030273
200666_s_at 691.5   A   0.080566
211185_s_at 2020.7  P   0.023926
204737_s_at 28.6    A   0.870361
200658_s_at 39.3    A   0.696289
210195_s_at 405.7   P   0.030273
200645_at   6949.8  P   0.000732
200707_at   435.8   A   0.432373
201077_s_at 371.6   A   0.219482
200710_at   518 A   0.27417
200632_s_at 1430.6  P   0.001221
208636_at   3531.7  P   0.00293
200609_s_at 1440    A   0.080566
200834_s_at 3994.9  P   0.008057
216088_s_at 25.8    A   0.919434
200675_at   879 A   0.067627
201786_s_at 2518    P   0.000244
211980_at   137.1   A   0.246094
208626_s_at 818.3   A   0.72583
212509_s_at 695.5   P   0.037598
214218_s_at 571.7   P   0.001953
217753_s_at 4375.3  P   0.001221
200747_s_at 148.2   A   0.80542
200820_at   42.2    A   0.753906
208662_s_at 376.6   P   0.030273
201304_at   82.8    A   0.303711
208620_at   4355.5  P   0.008057
217716_s_at 142.2   A   0.932373
200903_s_at 263.6   P   0.008057
201092_at   760.1   A   0.149658
213201_s_at 44.9    A   0.953857
200846_s_at 484.5   A   0.466064
207168_s_at 1610.2  P   0.000732
217822_at   466.1   A   0.633789
208723_at   1249.2  A   0.27417
208745_at   646.5   A   0.27417
208728_s_at 738.5   A   0.111572
217225_x_at 1218.8  A   0.111572
200661_at   84.4    A   0.80542
200644_at   1250.3  P   0.001221
220789_s_at 102.9   A   0.943848
208967_s_at 900.4   A   0.303711
201058_s_at 30.9    A   0.998047
200942_s_at 1213.3  P   0.046143
212461_at   1194    P   0.00415
219549_s_at 2012.8  P   0.018555
200595_s_at 108.3   A   0.601074
200998_s_at 1604.4  P   0.037598
