#ID_REF = 
#VALUE = Signal
#ABS_CALL = Detecion call
#DETECTION P-VALUE = Detection p-value
ID_REF  VALUE   ABS_CALL    DETECTION P-VALUE
201665_x_at 8138.3  P   0.000244
217747_s_at 7545.3  P   0.000244
211429_s_at 7653.2  P   0.000244
201273_s_at 618 P   0.00293
218679_s_at 2129.8  P   0.010742
200817_x_at 21491.4 P   0.000244
215313_x_at 44220.3 P   0.000244
200869_at   10528.3 P   0.000244
202409_at   237.8   A   0.171387
204848_x_at 56212.3 P   0.000732
203807_x_at 23.7    A   0.932373
208668_x_at 6169.1  P   0.005859
201596_x_at 244.6   A   0.601074
208825_x_at 28199.5 P   0.000732
210949_s_at 918.2   P   0.023926
200650_s_at 2067.6  P   0.000244
214157_at   693.8   P   0.008057
202493_x_at 11.9    A   0.870361
211999_at   4581.3  P   0.000732
221476_s_at 3206.2  P   0.001221
200912_s_at 2038.7  P   0.000244
200937_s_at 1840.5  P   0.00293
208703_s_at 896.5   P   0.01416
200763_s_at 18334.9 P   0.000244
200886_s_at 2188.5  P   0.00415
208849_at   213.2   A   0.334473
202028_s_at 2587.5  P   0.000244
208680_at   938.7   P   0.001953
201841_s_at 25.4    A   0.888428
200823_x_at 1420.3  P   0.000732
211161_s_at 86.9    A   0.366211
208977_x_at 653.6   M   0.056152
200962_at   737.5   P   0.023926
214665_s_at 1450.4  P   0.000732
204805_s_at 449 A   0.19458
208894_at   1837.2  P   0.01416
200679_x_at 358.3   P   0.00293
200858_s_at 4606.7  P   0.000732
203034_s_at 26110.2 P   0.000732
211509_s_at 2180.1  P   0.000244
200640_at   4510.7  P   0.001221
209008_x_at 185.5   A   0.27417
200910_at   575.3   P   0.01416
201010_s_at 15302   P   0.000244
208718_at   8970.5  P   0.000244
200738_s_at 2744.3  P   0.000732
200809_x_at 15854.2 P   0.000244
208645_s_at 22638.8 P   0.000244
200643_at   84  A   0.850342
214365_at   87.7    A   0.753906
214414_x_at 69000   P   0.000244
217232_x_at 79648.1 P   0.000244
200750_s_at 108.8   A   0.432373
208754_s_at 224.1   A   0.19458
220948_s_at 425.2   M   0.056152
216526_x_at 44289.3 P   0.000244
200783_s_at 91.5    A   0.633789
208655_at   3098.6  P   0.000244
211985_s_at 496.9   P   0.01416
200656_s_at 885.3   P   0.00293
203673_at   527.1   A   0.129639
201258_at   6410.8  P   0.000244
201131_s_at 202.9   A   0.432373
200888_s_at 2104.6  P   0.000244
200792_at   838 A   0.111572
212952_at   222.4   A   0.533936
213377_x_at 34620.7 P   0.000244
206074_s_at 468 A   0.398926
200766_at   387.2   P   0.001221
219939_s_at 1709.7  P   0.00293
200613_at   2578.3  M   0.056152
213746_s_at 779.6   A   0.067627
202026_at   433.4   P   0.046143
219612_s_at 82.1    A   0.366211
200633_at   62872.1 P   0.000244
208628_s_at 22446.3 P   0.000244
217915_s_at 630.3   P   0.010742
217057_s_at 365.7   A   0.246094
200602_at   15.2    A   0.466064
200779_at   1515.5  P   0.010742
200674_s_at 14567.1 P   0.000244
201506_at   203.2   A   0.432373
217732_s_at 17305.8 P   0.000244
200832_s_at 287.9   A   0.129639
200807_s_at 841.9   P   0.001953
208677_s_at 1702    A   0.067627
203113_s_at 855.4   P   0.030273
201348_at   496.7   P   0.000244
200677_at   3131.5  P   0.01416
200904_at   3795.8  P   0.000244
213587_s_at 503.9   A   0.171387
200599_s_at 687 P   0.000732
208610_s_at 904.1   P   0.00293
212426_s_at 576.7   P   0.030273
208612_at   672.4   P   0.00293
201619_at   470.8   A   0.246094
209125_at   324.6   A   0.432373
213655_at   693.7   P   0.018555
203455_s_at 2370.7  P   0.000732
203411_s_at 571.8   A   0.095215
200909_s_at 10726.6 P   0.000244
200705_s_at 1913.2  P   0.001221
212137_at   619.8   A   0.111572
217757_at   301.2   A   0.366211
217767_at   62.1    A   0.80542
200665_s_at 129.6   A   0.601074
201322_at   1695.8  P   0.010742
200634_at   6657.8  P   0.000244
201894_s_at 844.2   P   0.023926
213798_s_at 5211.8  P   0.000244
200741_s_at 21832.7 P   0.000244
201397_at   621.4   A   0.27417
206621_s_at 1110.1  A   0.149658
211926_s_at 1660.4  P   0.046143
208852_s_at 603.6   M   0.056152
208640_at   2581.1  P   0.000244
210978_s_at 2958.2  P   0.010742
208673_s_at 192.2   P   0.000732
211941_s_at 982.7   A   0.219482
208619_at   1022.6  P   0.037598
220605_s_at 1214.8  A   0.129639
211939_x_at 6130.5  P   0.000244
218831_s_at 1047.7  A   0.303711
201318_s_at 3724.6  P   0.000244
210986_s_at 207.2   A   0.067627
208697_s_at 1703.3  P   0.018555
217807_s_at 4851.3  P   0.000244
208624_s_at 489.9   P   0.030273
200923_at   360.4   A   0.080566
213803_at   887.5   P   0.023926
218084_x_at 2713.7  P   0.00415
200845_s_at 209 P   0.005859
221474_at   3959.8  P   0.00415
200764_s_at 533.2   A   0.111572
201149_s_at 966.6   A   0.095215
203872_at   206.8   A   0.466064
217756_x_at 14855.2 P   0.00293
222018_at   249.1   A   0.533936
204102_s_at 17014.3 P   0.000244
208650_s_at 66  A   0.432373
209875_s_at 310.6   P   0.01416
209096_at   341.3   P   0.037598
200673_at   1450.8  P   0.001221
204810_s_at 69.2    A   0.601074
200984_s_at 462.1   P   0.046143
212099_at   2170.8  P   0.001953
208821_at   513.7   A   0.149658
204582_s_at 48.6    A   0.888428
203258_at   230.8   A   0.129639
217733_s_at 7523.6  P   0.001221
200593_s_at 597.3   P   0.01416
200990_at   681.2   A   0.095215
208659_at   4331.2  P   0.000244
200971_s_at 1967.3  P   0.000732
200812_at   142.7   A   0.533936
215001_s_at 9145.8  P   0.000244
201650_at   9.1 A   0.932373
208642_s_at 1373.9  P   0.00415
218617_at   386.6   M   0.056152
213782_s_at 13.1    A   0.919434
203382_s_at 65.3    A   0.828613
200819_s_at 12895.5 P   0.000244
213879_at   271.8   P   0.046143
201088_at   223.3   P   0.030273
200631_s_at 913.3   P   0.030273
200978_at   652.8   A   0.246094
212266_s_at 1509.5  P   0.008057
200853_at   442.6   M   0.056152
200718_s_at 5125    P   0.000244
221962_s_at 325.8   A   0.533936
211284_s_at 427.8   A   0.080566
221494_x_at 2749.4  P   0.010742
204083_s_at 22.6    A   0.72583
213606_s_at 30.2    A   0.828613
201002_s_at 291.7   M   0.056152
209277_at   161.3   A   0.095215
208638_at   598.7   A   0.219482
201327_s_at 301.6   M   0.056152
201097_s_at 892.3   P   0.005859
205292_s_at 740.6   P   0.005859
201427_s_at 19.9    A   0.850342
202995_s_at 264.9   A   0.095215
200623_s_at 44.9    A   0.696289
212016_s_at 462.1   P   0.037598
208623_s_at 285.7   P   0.008057
208666_s_at 192.8   P   0.005859
210095_s_at 365.1   P   0.023926
