#ID_REF = 
#VALUE = Signal
#ABS_CALL = Detection call
#DETECTION P-VALUE = Detection p-value
ID_REF  VALUE   ABS_CALL    DETECTION P-VALUE
201010_s_at 14782.3 P   0.000244
208718_at   9079    P   0.000732
200738_s_at 1448.4  P   0.000732
200809_x_at 11040.4 P   0.000244
208645_s_at 23987.7 P   0.000244
200643_at   70.2    A   0.904785
214365_at   105.1   A   0.870361
214414_x_at 85024.9 P   0.000244
217232_x_at 103138.1    P   0.000244
200750_s_at 38.2    A   0.72583
208754_s_at 118.9   A   0.246094
220948_s_at 280.8   A   0.246094
216526_x_at 48744.3 P   0.000244
200783_s_at 39.6    A   0.696289
208655_at   3431.8  P   0.000244
211985_s_at 424.6   P   0.01416
200656_s_at 566.5   P   0.010742
203673_at   538.8   A   0.398926
201258_at   5809.8  P   0.000244
201131_s_at 32.7    A   0.665527
200888_s_at 3205.2  P   0.000732
200792_at   421.3   A   0.27417
212952_at   41.2    A   0.753906
213377_x_at 45980.4 P   0.000244
206074_s_at 399.8   A   0.567627
200766_at   339.9   A   0.080566
219939_s_at 1140.3  P   0.001953
200613_at   2814.2  M   0.056152
213746_s_at 591.4   A   0.246094
202026_at   256.3   P   0.023926
219612_s_at 125.4   A   0.334473
200633_at   78094.9 P   0.000244
208628_s_at 19765.5 P   0.000244
217915_s_at 579.3   P   0.023926
217057_s_at 765.5   A   0.095215
200602_at   156.6   A   0.149658
200779_at   1896.7  P   0.030273
200674_s_at 13764.8 P   0.000244
201506_at   143.7   A   0.665527
217732_s_at 14660.7 P   0.000244
200832_s_at 48.3    A   0.466064
200807_s_at 831.8   P   0.005859
208677_s_at 2377.2  P   0.010742
203113_s_at 939.3   P   0.018555
201348_at   600.9   P   0.00415
200677_at   2179.3  P   0.018555
200904_at   2895.8  P   0.000244
213587_s_at 424.7   A   0.366211
200599_s_at 554.2   P   0.010742
208610_s_at 779.9   P   0.010742
212426_s_at 656.8   A   0.149658
208612_at   167 A   0.27417
201619_at   422.6   A   0.149658
209125_at   301.1   A   0.334473
213655_at   854.6   P   0.046143
203455_s_at 2709.9  P   0.000732
203411_s_at 594.9   A   0.27417
200909_s_at 9984    P   0.000244
200705_s_at 2935.8  P   0.000244
212137_at   753.6   P   0.037598
217757_at   184.9   A   0.466064
217767_at   126.5   A   0.696289
