#ID_REF = 
#VALUE = Signal
#ABS_CALL = Detection call
#DETECTION P-VALUE = Detection p-value
ID_REF  VALUE   ABS_CALL    DETECTION P-VALUE
200650_s_at 1021.9  P   0.000244
214157_at   1805.7  P   0.001221
202493_x_at 22.5    A   0.665527
211999_at   7397.1  P   0.000732
221476_s_at 738.6   A   0.129639
200912_s_at 1274    P   0.000732
200937_s_at 491 A   0.171387
208703_s_at 587.1   M   0.056152
200763_s_at 15625.9 P   0.000244
200886_s_at 2606.6  P   0.008057
208849_at   129.4   A   0.633789
202028_s_at 3560.9  P   0.001221
208680_at   483.3   A   0.111572
201841_s_at 135.6   A   0.696289
200823_x_at 657.2   A   0.095215
211161_s_at 17.4    A   0.633789
208977_x_at 1083.3  A   0.129639
200962_at   751 A   0.219482
214665_s_at 1094.1  P   0.001953
204805_s_at 297.3   A   0.432373
208894_at   508.1   A   0.27417
200679_x_at 186.3   A   0.19458
200858_s_at 1849.3  P   0.000732
203034_s_at 14873.5 P   0.001953
211509_s_at 2471.8  P   0.000244
200640_at   3501.5  P   0.00415
209008_x_at 329.7   A   0.303711
200910_at   161.5   A   0.633789
201010_s_at 21172.4 P   0.000244
208718_at   10176.8 P   0.000732
200738_s_at 2002.6  P   0.000244
200809_x_at 17650.3 P   0.000244
208645_s_at 18753   P   0.000244
200643_at   72.3    A   0.828613
214365_at   125.8   A   0.753906
214414_x_at 98172.8 P   0.000244
217232_x_at 118884.8    P   0.000244
200750_s_at 12.3    A   0.989258
208754_s_at 45.1    A   0.850342
220948_s_at 127 A   0.665527
216526_x_at 57467.1 P   0.000244
200783_s_at 49  A   0.888428
208655_at   4465.1  P   0.000244
211985_s_at 222.9   A   0.27417
200656_s_at 780 P   0.008057
203673_at   482.3   A   0.246094
201258_at   825.4   P   0.037598
201131_s_at 67.3    A   0.828613
200888_s_at 1334.3  M   0.056152
200792_at   174.1   A   0.533936
212952_at   32.3    A   0.932373
213377_x_at 63808.3 P   0.000244
206074_s_at 170.8   A   0.919434
200766_at   542.4   P   0.018555
219939_s_at 1787    P   0.00293
200613_at   3227.8  P   0.037598
213746_s_at 589.4   A   0.334473
202026_at   561 A   0.149658
219612_s_at 57.1    A   0.533936
200633_at   99400.6 P   0.000244
208628_s_at 48640.8 P   0.000244
217915_s_at 243.8   P   0.023926
217057_s_at 483.1   A   0.398926
200602_at   67.4    A   0.466064
200779_at   1569.2  P   0.030273
200674_s_at 14744.4 P   0.000244
201506_at   66.3    A   0.753906
217732_s_at 19071.5 P   0.000244
200832_s_at 306 A   0.27417
200807_s_at 365.8   P   0.018555
208677_s_at 3376.1  P   0.023926
203113_s_at 654.5   A   0.219482
201348_at   619 P   0.008057
200677_at   2398.4  P   0.01416
200904_at   4080.7  P   0.000244
213587_s_at 230.1   A   0.5
200599_s_at 346.1   A   0.246094
208610_s_at 1015.9  P   0.001953
212426_s_at 28.2    A   0.72583
208612_at   340.1   A   0.219482
201619_at   264.8   A   0.398926
209125_at   410.9   A   0.366211
213655_at   1013    P   0.037598
203455_s_at 2290.9  P   0.000732
203411_s_at 873.9   A   0.129639
200909_s_at 9971.2  P   0.000244
200705_s_at 1018.3  P   0.018555
212137_at   658.7   A   0.080566
217757_at   30  A   0.753906
217767_at   117.1   A   0.780518
200665_s_at 188.5   A   0.72583
201322_at   2191.2  P   0.008057
200634_at   3709.9  P   0.000244
201894_s_at 525 A   0.095215
213798_s_at 6361.3  P   0.000732
200741_s_at 8451.2  P   0.001953
201397_at   959.3   A   0.149658
206621_s_at 735.2   A   0.219482
211926_s_at 1942.8  P   0.037598
208852_s_at 711 A   0.080566
208640_at   2387.5  P   0.000244
210978_s_at 3442.8  A   0.067627
208673_s_at 213.7   A   0.111572
211941_s_at 562 A   0.398926
208619_at   700.4   P   0.046143
220605_s_at 1354.3  A   0.19458
